Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SNLS-06D2iz.fits,190.35883,61.85981,1763.7513,693.0573,1569.6147,607.81366,6.4377813, Good triplet
SN 2023alf.fits,191.49506,110.65088,2142.2297,915.2993,1938.3763,752.6765,7.1491284, Good triplet
SN 2021tty.fits,190.88597,117.26375,1968.6315,982.7984,1776.9618,933.7134,8.612503, Good triplet
SN 2016gkg.fits,nan,nan,4061.171,3626.9817,nan,nan,0, Poor triplet
SN 2020qth.fits,193.23747,259.30676,1457.8005,876.152,1256.732,709.74786,2.6487982, Moderate triplet
SN 2021adyl.fits,191.06496,174.06238,2029.5112,1022.5251,1835.2117,944.7049,6.345115, Good triplet
SN 2021low.fits,187.96156,33.269066,2005.2087,657.4693,1813.6556,578.8052,12.402499, Good triplet
SN 2023xgn.fits,190.44052,117.486046,1944.1294,918.86993,1747.7932,820.9353,4.909627, Moderate triplet
SN2020voh.fits,nan,nan,1648.98,517.76105,nan,nan,0, Poor triplet
SN 2019lsk.fits,187.56357,11.687602,2235.5564,584.726,2043.9138,508.94162,9.956446, Good triplet
SN 2020cuj.fits,191.81413,61.035538,2520.4587,1193.0206,2328.6455,1158.3759,5.760803, Good triplet
SN 2023lcr.fits,188.74432,44.004196,2011.528,868.60046,1803.505,645.67456,3.4230924, Moderate triplet
SN 2024abfo.fits,nan,nan,2153.9058,1094.225,nan,nan,0, Poor triplet
SN 2019yc.fits,190.89291,87.92375,2014.5834,1056.5762,1820.3842,998.3009,5.9785457, Good triplet
SN 2014cl.fits,190.43059,139.65807,1678.1984,1016.7201,1487.8473,972.31683,5.614278, Good triplet
SN 2021ahot.fits,187.83421,38.729095,2011.1738,691.2952,1823.1761,670.0506,10.345529, Good triplet
SN 2016cok.fits,251.04147,234.8545,5171.0024,4443.6587,4905.041,4285.0312,11.175442, Good triplet
SN 2017dps.fits,nan,nan,3017.358,2103.5522,nan,nan,0, Poor triplet
SN 2018dfy.fits,217.51111,376.66937,2296.819,1798.5038,2069.1694,1599.5905,3.5029922, Moderate triplet
SN 2022isb.fits,191.39029,193.91621,1701.2274,838.9146,1509.9893,776.0249,9.218635, Good triplet
SN 2020adhh.fits,191.62756,58.103886,2202.924,741.57355,2008.1248,665.575,6.967135, Good triplet
SN 2021acgj.fits,nan,nan,2543.2502,1535.082,nan,nan,0, Poor triplet
SN 2025gr.fits,189.37172,117.680534,843.06415,841.9081,651.67224,771.71423,5.4506645, Good triplet
PSc530052.fits,188.50113,45.927246,3174.084,3610.6028,2972.4465,3580.4827,10.281237, Good triplet
SN2021aci.fits,199.61156,130.44417,2133.021,1514.5713,1912.3851,1307.7239,3.6348078, Moderate triplet
SN 2022mhe.fits,191.53316,73.77764,2405.9033,1051.8724,2209.4536,968.92316,9.5672035, Good triplet
SN 2022nzx.fits,192.05109,120.59429,1905.0525,931.76086,1713.0033,885.0831,1.7423486, Moderate triplet
SN 2018zz.fits,nan,nan,3373.305,2263.6282,nan,nan,0, Poor triplet
SN 2017dju.fits,nan,nan,2127.003,1293.442,nan,nan,0, Poor triplet
SN 2022aefd.fits,201.40022,233.92766,2385.4236,1798.6923,2184.1016,1706.7067,4.053834, Moderate triplet
SN 2023bqk.fits,191.16673,97.672745,2269.6794,932.8729,2078.5132,885.5356,11.9662285, Good triplet
SN 2023eqr.fits,190.33209,159.43588,1927.1334,726.5342,1736.9376,660.1758,9.040252, Good triplet
SN 2022nzb.fits,187.397,67.24887,2109.7068,804.78485,1922.3099,776.084,11.019448, Good triplet
SN 2015ca.fits,193.51788,113.56686,1876.043,1556.8702,1682.5249,1509.7443,6.0532966, Good triplet
SN 2017fqo.fits,187.89162,80.0851,1526.639,1227.6431,1341.0167,1200.5864,8.902985, Good triplet
SN 2018bl.fits,nan,nan,2269.2437,1768.3439,nan,nan,0, Poor triplet
SN 2020oi.fits,225.36409,109.067924,3521.0771,2171.1829,3295.7131,2097.9753,8.96301, Good triplet
SN 2021gel.fits,185.75429,28.538946,1948.5734,561.5325,1745.1606,526.5913,0, Moderate triplet
SN 2023ixf.fits,225.60652,156.9383,4663.6104,3030.1584,4438.042,2974.1238,14.045564, Good triplet
SN 2021sve.fits,191.03265,99.973495,2657.6934,890.09375,2466.6611,835.4075,1.1579363, Moderate triplet
SN 2023jht.fits,188.79576,119.66196,1786.6382,590.4796,1593.7843,468.4694,7.1583915, Good triplet
SDSS-II SN 13247.fits,186.91243,79.38251,1914.3622,642.8649,1721.8,528.23413,6.3225594, Good triplet
SDSS-II SN 20431.fits,187.14204,123.39051,1735.4065,557.6694,1548.3226,523.57086,6.087558, Good triplet
SN 2016adp.fits,203.6788,287.82425,2014.354,1480.7528,1795.2996,1249.074,0.90094686, Moderate triplet
SN 2022rzz.fits,193.94586,141.5349,2043.2994,1382.4266,1825.0011,1162.4517,6.251058, Good triplet
SN2020jbl.fits,193.66443,199.64885,1740.4637,1176.0664,1523.737,860.77167,13.388678, Good triplet
SN 2020ann.fits,187.48419,87.62221,1843.1233,479.91724,1655.6616,432.98825,6.1630826, Good triplet
SN 2020roc.fits,191.51227,113.217674,1869.6306,929.15265,1673.5085,843.76263,5.978682, Good triplet
SN 2020tcw.fits,187.4673,53.15917,1842.2856,564.77954,1654.94,535.8344,9.52631, Good triplet
SN2018ean.fits,186.41031,16.839058,1736.9459,607.81757,1542.6671,478.52725,7.735691, Good triplet
SN 2019mbs.fits,189.09607,54.63568,2153.2166,699.8712,1964.1205,672.6285,8.990795, Good triplet
SN 2020wnt.fits,202.86745,208.31941,2247.6628,1771.934,2023.8293,1551.2809,2.029449, Moderate triplet
SN 2015cq.fits,191.47318,105.81577,2045.3208,928.35925,1849.5228,831.34393,1.4872473, Moderate triplet
SN2019pxo.fits,189.81479,83.94303,2014.8357,798.02966,1825.0212,755.76794,12.124341, Good triplet
SN 2016arc.fits,204.73518,212.59618,2496.3442,1808.4978,2283.542,1681.5791,1.4162344, Moderate triplet
DES16X2bkr.fits,214.06505,324.14697,3063.802,2267.2869,2845.739,2134.8762,2.098507, Moderate triplet
SN 2022aie.fits,189.70425,40.194355,2238.7175,915.71094,2045.9934,867.1788,9.449519, Good triplet
SN 2017gas.fits,198.59584,153.63657,2213.4517,1506.3583,1976.799,1187.6364,8.421309, Good triplet
SN 2018hzg.fits,190.77853,94.01845,2013.6777,1144.9941,1820.3989,1085.1964,7.800089, Good triplet
